date,action,ticker,security,reason
2015-12-15,remove,CMCSK,Comcast K Corp,CMCSK shares no longer listed[158]
2015-12-29,add,CHD,Church & Dwight,ALTR taken over by INTC[157]
2015-12-29,remove,ALTR,Altera,ALTR taken over by INTC[157]
2016-01-05,add,WLTW,Willis Towers Watson,WSH merges with TW (and renames to WLTW)[156]
2016-01-05,remove,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[156]
2016-01-19,add,EXR,Extra Space Storage,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[155]"
2016-01-19,remove,ACE,Chubb,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[155]"
2016-02-01,add,CFG,Citizens,CFG replaces PCP[153]
2016-02-01,add,FRT,Federal Realty Investment Trust,FRT replaces BRCM[154]
2016-02-01,remove,BRCM,Broadcom Corporation,FRT replaces BRCM[154]
2016-02-01,remove,PCP,Precision Castparts Corporation,CFG replaces PCP[153]
2016-02-22,add,CXO,Concho Resources,PCL taken over by WY[152]
2016-02-22,remove,PCL,Plum Creek Timber,PCL taken over by WY[152]
2016-03-04,add,AWK,American Water Works,AWK replaces CNX[151]
2016-03-04,remove,CNX,Consol Energy,AWK replaces CNX[151]
2016-03-07,add,UDR,UDR,JAB Holding Company acquired Keurig Green Mountain[150]
2016-03-07,remove,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[150]
2016-03-30,add,CNC,Centene Corporation,Centene acquired Health Net.[149]
2016-03-30,add,HOLX,Hologic,Exelon acquired Pepco.[149]
2016-03-30,remove,ESV,Ensco,Centene acquired Health Net.[149]
2016-03-30,remove,POM,Pepco Holdings,Exelon acquired Pepco.[149]
2016-04-04,add,FL,Foot Locker,Schlumberger acquired Cameron[148]
2016-04-04,remove,CAM,Cameron International,Schlumberger acquired Cameron[148]
2016-04-08,add,UA,Under Armour (Class C),Under Armour distribution of second class of stock
2016-04-18,add,ULTA,Ulta Beauty,Ulta replaces Tenet[147]
2016-04-18,remove,THC,Tenet Healthcare,Ulta replaces Tenet[147]
2016-04-25,add,GPN,Global Payments,Global Payments is acquiring Heartland Payment Systems[146]
2016-04-25,remove,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[146]
2016-05-03,add,AYI,Acuity Brands,ADT acquired by APO[145]
2016-05-03,remove,ADT,ADT,ADT acquired by APO[145]
2016-05-13,add,ALK,Alaska Air Group,SNDK acquired by WDC[144]
